hst_id,plat_no,slot_number,reg_date
1,W205593SUI,125,2020-05-15 10:49:16
2,Q124388KKO,791,2020-04-27 11:14:11
3,Z930354YBR,624,2020-10-05 20:30:44
4,I783909LDL,144,2020-07-13 21:44:11
5,X659440SCP,430,2020-11-07 13:48:09
6,T437594DXA,66,2020-09-02 11:07:20
7,E289197HRN,636,2020-10-08 04:37:13
8,Z131674SYE,593,2020-03-18 13:10:33
9,O254321CDS,902,2020-11-01 02:51:35
10,P361103SLW,365,2020-07-10 23:41:22
11,S600648EMF,1000,2020-01-02 02:36:09
12,Z486199LQI,577,2020-12-28 22:06:01
13,W524206MOU,348,2020-12-09 14:57:17
14,X450687IYP,930,2020-08-09 18:41:51
15,O659806BIH,385,2020-10-28 22:43:07
16,Y590919CKA,911,2020-05-31 15:08:51
17,P933137MOA,96,2020-05-30 22:22:16
18,T609867HAW,476,2020-02-08 17:17:34
19,L512059SJI,319,2020-09-10 01:56:34
20,M962679SBI,296,2020-09-22 05:38:11
21,A142072FFS,682,2020-02-10 09:56:07
22,G898977QAJ,607,2020-01-23 06:46:00
23,F746573QPL,850,2020-02-04 05:24:40
24,L299286OEU,663,2020-03-16 20:06:30
25,U538800AJL,114,2020-10-11 21:13:04
26,N943982QSW,507,2020-08-23 15:09:28
27,P426309GQA,463,2020-06-30 00:28:03
28,F618232WFM,21,2020-03-20 04:16:53
29,I155862ZES,266,2020-04-27 00:02:47
30,R772728CYF,842,2020-04-21 09:29:21
31,P609444NTG,26,2020-10-29 00:54:13
32,Z196578MAG,700,2020-01-24 05:40:36
33,B572238PQT,942,2020-02-21 20:12:47
34,D559002MPB,571,2020-01-26 20:58:02
35,L838412ZES,752,2020-07-15 19:02:36
36,B796398JCF,142,2020-02-22 17:48:47
37,U757155NML,939,2020-03-18 11:47:41
38,G529676DAQ,922,2020-06-02 10:13:31
39,R247567KBI,215,2020-07-08 01:31:18
40,S780597TLG,166,2020-12-18 11:16:54
41,P821210NSZ,792,2020-07-22 08:10:28
