plat_no,slot_number,reg_date
H917002IBI,969,2020-03-20 18:42:38
W848022IZK,225,2020-06-30 00:17:31
Q640051UDI,538,2020-06-13 05:40:43
L930228SUH,840,2020-12-23 14:53:34
L619537CAC,670,2020-02-18 15:03:36
L607014RSR,323,2020-07-09 23:57:40
T374085CYH,799,2020-01-13 04:10:30
X532637SYN,919,2020-06-19 17:54:02
U492125ZWJ,707,2020-04-15 02:51:02
D990081SPS,175,2020-11-08 07:18:33
E694069IFT,833,2020-05-02 23:42:36
I658463RTJ,816,2020-07-08 11:48:14
I477566DZA,969,2020-02-13 20:44:58
P271118OIP,539,2020-09-04 12:03:08
Q245829VNZ,915,2020-04-11 20:50:07
Q756781FQU,864,2020-03-05 09:56:38
O687410KBT,245,2020-10-14 22:16:04
F157607BOJ,847,2020-02-01 21:50:37
F233507RIX,38,2020-09-19 20:57:38
B279366TDR,628,2020-02-29 01:59:35
K613513FUK,411,2020-01-23 19:52:59
J784172RTU,996,2020-07-16 14:00:48
I920110TLU,13,2020-03-31 01:32:17
O917254TJY,346,2020-05-16 21:11:17
L490462LQS,55,2020-01-04 21:17:45
W547215HHD,758,2020-07-05 11:06:42
B738647HVI,759,2020-10-13 00:04:44
M279674QEV,942,2020-01-05 08:26:59
U603284LES,435,2020-05-10 08:25:23
V370201JYC,538,2020-09-10 22:42:18
D796900HZB,746,2020-02-06 15:49:13
E184160VBB,847,2020-08-29 23:51:24
Z774995CVX,244,2020-01-10 14:05:44
C342185LVV,568,2020-08-08 14:48:40
F184759WMY,656,2020-12-13 21:32:44
A260397UHF,944,2020-02-16 05:43:09
Z724778JYV,383,2020-05-23 14:22:18
L423644EYH,813,2020-01-24 03:50:47
G880791WEQ,226,2020-11-25 22:43:46
G347404QDC,802,2020-10-08 09:10:23
P581836CIU,981,2020-11-30 10:06:57
V257083UQO,682,2020-02-10 10:48:47
W448719ZBB,119,2020-04-23 08:25:16
K572115XLH,425,2020-04-04 10:45:21
H678891XWW,978,2020-06-07 08:48:57
R269594KOX,249,2020-01-18 03:13:00
J676540TEB,821,2020-06-30 22:39:18
N431143TMV,811,2020-06-26 10:37:53
Z926245UKR,865,2020-11-03 07:42:14
S993843SCM,6,2020-07-04 15:05:56
Z643574MLA,146,2020-01-10 12:05:46
U476849ZSD,822,2020-12-17 11:08:15
I477016RLH,179,2020-03-16 08:01:52
I497626HFC,894,2020-11-15 20:31:36
E593485ZNC,297,2020-09-30 12:31:08
B451464YOB,854,2020-10-03 22:18:04
F949021ARM,739,2020-02-25 10:27:53
F547235BHI,466,2020-02-16 09:53:21
L547916KKI,702,2020-03-23 21:29:54
V165326YIK,926,2020-12-24 19:43:33
K865179NOY,778,2020-03-10 15:52:18
A111513ORT,877,2020-10-29 21:18:45
G737924LDV,354,2020-05-06 01:51:44
N836056FXO,962,2020-04-22 18:20:28
D432751RTE,727,2020-02-13 16:32:07
H776682FCT,794,2020-08-03 19:56:15
T622600VSI,495,2020-10-03 01:44:21
U979748YUF,351,2020-03-12 12:56:40
S234411LZU,997,2020-03-18 21:26:51
B724972OVH,134,2020-08-21 00:06:12
E521424DFU,887,2020-04-08 19:00:51
O552885ETL,225,2020-09-26 19:36:15
X180442LHP,337,2020-02-19 00:34:59
F273303IQP,745,2020-11-09 07:47:43
F329968JLF,292,2020-06-30 21:40:33
U974777SFD,806,2020-09-23 19:42:04
I149833IUH,756,2020-10-06 03:03:13
O801053HXG,316,2020-04-04 19:59:45
B670989QJG,614,2020-10-10 09:54:38
L295793MRG,296,2020-03-01 15:20:29
Z273007KYX,55,2020-11-07 10:49:58
M515279QCB,365,2020-10-27 17:44:51
N179216LEO,687,2020-01-24 18:50:34
I402309CMJ,566,2020-12-16 04:55:41
C683205FSE,328,2020-09-05 22:12:52
U216874MFZ,492,2020-12-16 16:45:16
W878788LTM,264,2020-06-16 13:33:30
I742655FZA,168,2020-01-26 00:40:13
W788505IDN,15,2020-04-11 15:42:17
T126658RWU,690,2020-07-15 02:43:26
N855415JJW,52,2020-04-16 22:48:04
E868008FZG,601,2020-12-13 18:11:26
C302414SKB,807,2020-08-25 07:18:27
